SoldTo,Name,ADRC,ST2,Sales Organization,Distribution Channel,Division,Partner Function,Partner counter,Partner,Name,Partner Description,Default Partner,ADRC,ST2
1004962,A B C SPLY 240 CHEVERLY,87752,240,1210,0,70,SH,6,3142448,ZZSBS SIDING COMPANY INC,,,152817,
1004962,A B C SPLY 240 CHEVERLY,87752,240,1210,0,70,SH,7,3229268,ZZVATICA CONTRACTING CENSUS COMPUTE,,,199969,
1004962,A B C SPLY 240 CHEVERLY,87752,240,1210,0,70,SH,8,3240037,ZZJ/VATICA CONTRACTING/DEPT OF ENER,,,202585,
1004962,A B C SPLY 240 CHEVERLY,87752,240,1210,0,70,SH,9,3230955,ZZBEST INTERNATIONAL,,,195835,
1004962,A B C SPLY 240 CHEVERLY,87752,240,1210,0,70,SH,10,3179231,ZZROOF SERVICES CORPORATION,,,187716,
1004962,A B C SPLY 240 CHEVERLY,87752,240,1210,0,70,SH,11,3501943,ZZVATICA CONTRACTING,,,221776,
1004962,A B C SPLY 240 CHEVERLY,87752,240,1210,0,70,SH,12,3502247,J/DEPT. OF ENERGY/ABC SUPPLY CO.,,,224366,
1004962,A B C SPLY 240 CHEVERLY,87752,240,1210,0,70,SH,15,3509117,ZZSIMPSON OF MARYLAND INC,,,277102,
1004962,A B C SPLY 240 CHEVERLY,87752,240,1210,0,70,SH,16,3509524,J/VATICA CONTRACTING/ABC CHEVERLY,,,278005,
1004962,A B C SPLY 240 CHEVERLY,87752,240,1210,0,70,SH,17,3513398,J/SIMPSON OF MD%GREENS LEISURE WORL,,,295373,
1004962,A B C SPLY 240 CHEVERLY,87752,240,1210,0,70,SH,18,3513399,J/SOMERSET STEEL ERECTION/ABC,,,295400,
1004962,A B C SPLY 240 CHEVERLY,87752,240,1210,0,70,SH,19,3530815,A B C SPLY 409 HYATTSVILLE,,,425645,409
1004962,A B C SPLY 240 CHEVERLY,87752,240,1210,0,70,SH,20,3536833,J/MESSIAH/ABC SUPPLY,,,471879,
1004962,A B C SPLY 240 CHEVERLY,87752,240,1210,0,70,SP,0,1004962,A B C SPLY 240 CHEVERLY,,,87752,240
